what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1332578632901
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332578642605
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332578648999
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332578653041
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332578655581
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332578659890
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332578662025
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332578664159
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332578669287
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332578671126
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1332578672436
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1332578676280
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1332578676317
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1332578677951
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1332578683119
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1332578685125
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332578698422
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332578713595
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1332578714853
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1332578714897
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1332578715846
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332578720903
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332578722490
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1332578727786
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1332578729832
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332578730123
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332578731680
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332578765715
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332579080138
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1332579081041
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332579086520
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332579089491
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1332579094289
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1332579096313
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332579112668
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332579140116
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1332579140632
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1332579160336
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1332579160498
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1332579160535
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332579167663
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1332579169195
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332579169334
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332579172462
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332579174775
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1332579182256
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1332579182871
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1332579182987
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1332579183316
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1332579183350
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1332579187109
started,bundle,org.eclipse.wst.xsl.ui,1.1.200.v201103082057,"org.eclipse.wst.xsl.ui",1332579187223
started,bundle,org.eclipse.jem.workbench,2.0.400.v201104251400,"org.eclipse.jem.workbench",1332579188852
opened,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1332579188860
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1332579189116
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1332579189207
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1332579189256
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1332579191590
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332579205446
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332579298739
started,bundle,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.ui",1332579300977
